id,title,author/0,author/1,author/2,institution/0,citedby/0,year,author/3,institution/1,cites/0,cites/1,cites/2,cites/3,cites/4,cites/5,citedby/1,author/4,citedby/2,citedby/3,citedby/4,citedby/5,citedby/6,citedby/7,citedby/8,citedby/9,citedby/10,citedby/11,citedby/12,citedby/13,citedby/14,citedby/15,citedby/16,institution/2,citedby/17,citedby/18,citedby/19,citedby/20,citedby/21,citedby/22,citedby/23,citedby/24,citedby/25,citedby/26,citedby/27,citedby/28,citedby/29,citedby/30,citedby/31,citedby/32,citedby/33,citedby/34,citedby/35,citedby/36,citedby/37,citedby/38,citedby/39,citedby/40,citedby/41,citedby/42,citedby/43,citedby/44,citedby/45,citedby/46,citedby/47,citedby/48,citedby/49,citedby/50,citedby/51,citedby/52,citedby/53,citedby/54,citedby/55,citedby/56,citedby/57,citedby/58,citedby/59,citedby/60,citedby/61,author/5,author/6,institution/3,cites/6,cites/7,cites/8,citedby/62,citedby/63,citedby/64,citedby/65,citedby/66,citedby/67,citedby/68,citedby/69,citedby/70,citedby/71,citedby/72,citedby/73,citedby/74,citedby/75,citedby/76,citedby/77,citedby/78,citedby/79,citedby/80,citedby/81,citedby/82,citedby/83,citedby/84,citedby/85,citedby/86,citedby/87,citedby/88,institution/4,institution/5,institution/6,author/7,cites/9,author/8,author/9,author/10,author/11,author/12,author/13,cites/10,cites/11,institution/7,institution/8,cites/12,cites/13,cites/14,cites/15,cites/16,cites/17,cites/18,cites/19,cites/20,cites/21,cites/22,cites/23
10.1007/3-540-62495-3_61,Experimental and theoretical results in interactive orthogonal graph drawing,Janet M. Six,Ioannis G. Tollis,Achilleas Papakostas,The University of Texas at Dallas,10.1007/3-540-63938-1_73,1996,,,10.1007/3-540-58950-3_355,,,,,,10.1007/3-540-63938-1_84,,10.1007/3-540-37623-2_23,10.1007/3-540-45848-4_19,10.1007/3-540-63938-1_55,10.1007/3-540-37623-2_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-62495-3_62,An interactive system for drawing graphs,Kathy Ryall,Joe Marks,Stuart Shieber,Mitsubishi Electric Research Laboratories,10.1007/978-3-642-00219-9_27,1996,,Harvard University,,,,,,,10.1007/3-540-63938-1_73,,10.1007/3-540-44541-2_23,10.1007/3-540-45848-4_4,10.1007/3-540-44541-2_3,10.1007/3-540-36151-0_1,10.1007/3-540-37623-2_5,10.1007/3-540-45848-4_55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-62495-3_63,Automatic graph clustering (system demonstration),Reinhard Sablowski,Arne Frick,,Tom Sawyer Software,10.1007/3-540-44541-2_19,1996,,Universität Karlsruhe,10.1007/3-540-58950-3_395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-62495-3_64,Qualitative visualization of processes: Attributed graph layout and focusing techniques,Kent Wittenburg,Louis Weitzman,,Meta Media Design,10.1007/3-540-45848-4_4,1996,,Bell Communications Research,10.1007/3-540-58950-3_379,10.1007/978-3-642-25878-7_9,10.1007/3-540-58950-3_395,10.1007/3-540-58950-3_373,10.1007/3-540-58950-3_371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_387,Upward drawing on the plane grid using less ink,Guy Vincent Jourdan,Ivan Rival,Nejib Zaguia,IRISA,10.1007/978-3-642-25878-7_2,1994,,University of Ottawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_388,Proximity drawability: A survey extended abstract,Giuseppe Di Battista,Giuseppe Liotta,William Lenhart,Williams College,,1994,,Università di Roma “La Sapienza”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_385,Upward planarity testing of outerplanar dags (extended abstract),Achilleas Papakostas,,,The University of Texas at Dallas,10.1007/978-3-642-36763-2_22,1994,,,10.1007/3-540-58950-3_384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_386,Optimal-area upward drawings of AVL trees,P. Crescenzi,A. Piperno,,Università di Roma “La Sapienza”,10.1007/BFb0021791,1994,,,,,,,,,10.1007/3-540-63938-1_82,,10.1007/3-540-63938-1_47,10.1007/3-540-62495-3_38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_389,Proximity constraints and representable trees (extended abstract),Prosenjit Bose,Giuseppe Di Battista,Giuseppe Liotta,Università di Roma “La Sapienza”,,1994,William Lenhart,Williams College,,,,,,,,,,,,,,,,,,,,,,,,McGill University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_380,CG: A graph drawing system using graph-grammar parsing,Fwu Shan Shieh,Carolyn McCreary,Helen Gill,McLean,10.1007/BFb0021831,1994,,Auburn University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_383,Molecular graph eigenvectors for molecular coordinates,Patrick W. Fowler,Tomaž Pisanski,John Shawe Taylor,University of Ljubljana,10.1007/BFb0021823,1994,,University of Exeter,,,,,,,,,,,,,,,,,,,,,,,,University of London,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_384,On the computational complexity of upward and rectilinear planarity testing,Ashim Garg,Roberto Tamassia,,Brown University,10.1007/3-540-63938-1_74,1994,,,,,,,,,10.1007/978-3-642-00219-9_24,,10.1007/978-3-642-25878-7_40,10.1007/BFb0021790,10.1007/978-3-319-03841-4_1,10.1007/978-3-319-03841-4_2,10.1007/3-540-46648-7_4,10.1007/978-3-319-03841-4_4,10.1007/3-540-46648-7_2,10.1007/978-3-540-24595-7_36,10.1007/978-3-642-25878-7_2,10.1007/3-540-62495-3_44,10.1007/3-540-58950-3_385,10.1007/978-3-642-36763-2_10,10.1007/978-3-642-36763-2_14,10.1007/978-3-642-36763-2_15,10.1007/978-3-642-25878-7_39,,10.1007/11618058_37,10.1007/3-540-58950-3_384,10.1007/3-540-62495-3_49,10.1007/BFb0021798,10.1007/978-3-662-45803-7_28,10.1007/978-3-662-45803-7_29,10.1007/978-3-540-24595-7_24,10.1007/978-3-642-11805-0_5,10.1007/3-540-63938-1_64,10.1007/978-3-642-36763-2_21,10.1007/BFb0021809,10.1007/3-540-58950-3_375,10.1007/978-3-642-36763-2_22,10.1007/3-540-37623-2_13,10.1007/978-3-540-31843-9_14,10.1007/978-3-662-45803-7_35,10.1007/978-3-662-45803-7_34,10.1007/978-3-662-45803-7_32,10.1007/978-3-642-18469-7_28,10.1007/11618058_10,10.1007/3-540-45848-4_31,10.1007/978-3-540-24595-7_55,10.1007/3-540-62495-3_60,10.1007/3-540-63938-1_58,10.1007/3-540-63938-1_55,10.1007/3-540-63938-1_56,10.1007/3-540-63938-1_54,10.1007/978-3-319-03841-4_35,10.1007/978-3-642-11805-0_23,10.1007/3-540-44541-2_28,10.1007/978-3-319-03841-4_37,10.1007/BFb0021811,10.1007/978-3-662-45803-7_23,10.1007/978-3-642-25878-7_12,10.1007/11618058_12,10.1007/978-3-642-00219-9_30,10.1007/978-3-642-18469-7_2,10.1007/3-540-37623-2_2,10.1007/3-540-58950-3_355,10.1007/BFb0021825,10.1007/978-3-642-18469-7_9,10.1007/3-540-58950-3_356,10.1007/BFb0021788,10.1007/3-540-58950-3_394,10.1007/978-3-540-77537-9_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_381,A demonstration of interactive graph based visual language applications,Jeffrey D. McWhirter,,,University of Colorado,,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_382,A simple algorithm for drawing large graphs on small screens,Karlis Kaugars,Juris Reinfelds,Alvis Brazma,University of Latvia,10.1007/BFb0021803,1994,,New Mexico State University,,,,,,,10.1007/3-540-46648-7_39,,10.1007/3-540-37623-2_9,10.1007/978-3-642-36763-2_6,10.1007/3-540-44541-2_20,10.1007/BFb0021797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/BFb0021808,Generalized fisheye views of graphs,Jörg Keller,Arno Formella,,Universität des Saarlandes,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_376,Redrawing a graph within a geometric tolerance,Manuel Abellanas,Ferran Hurtado,Pedro A. Ramos,Universitat Politécnica de Catalunya,,1994,,Universitat Politécnica de Madrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/BFb0021807,New results on a visibility representation of graphs in 3D,Sue Whitesides,Sándor P. Fekete,Michael E. Houle,McGill University,10.1007/3-540-37623-2_25,1995,,University of Newcastle,10.1007/3-540-58950-3_369,10.1007/BFb0021785,10.1007/3-540-58950-3_351,,,,10.1007/3-540-63938-1_52,,10.1007/3-540-62495-3_55,10.1007/978-3-319-27261-0_31,10.1007/3-540-46648-7_34,10.1007/978-3-642-11805-0_31,10.1007/BFb0021799,10.1007/3-540-63938-1_69,10.1007/978-3-540-24595-7_21,10.1007/BFb0021785,,,,,,,,Universität zu Köln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_377,On the difficulty of embedding planar graphs with inaccuracies,Michael Godau,,,Freie Universität Berlin,10.1007/978-3-662-45803-7_34,1994,,,,,,,,,10.1007/978-3-540-24595-7_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_374,TOSCANA — A graphical tool for analyzing and exploring data,Rudolf Wille,Frank Vogt,,Technische Hochschule Darmstadt,10.1007/BFb0021832,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/BFb0021809,Drawing high degree graphs with low bend numbers,Ulrich Fößmeier,Michael Kaufmann,,Universität Tübingen,10.1007/3-540-63938-1_52,1995,,,10.1007/3-540-58950-3_384,,,,,,10.1007/3-540-44541-2_5,,10.1007/978-3-540-70904-6_33,10.1007/3-540-36151-0_31,10.1007/3-540-63938-1_57,10.1007/3-540-63938-1_79,10.1007/978-3-540-24595-7_33,10.1007/3-540-36151-0_33,10.1007/3-540-46648-7_3,10.1007/3-540-36151-0_6,10.1007/3-540-45848-4_12,10.1007/3-540-45848-4_11,10.1007/3-540-46648-7_2,10.1007/3-540-62495-3_45,10.1007/978-3-642-36763-2_14,10.1007/3-540-36151-0_1,10.1007/978-3-319-03841-4_37,,10.1007/3-540-37623-2_28,10.1007/11618058_36,10.1007/3-540-45848-4_5,10.1007/978-3-642-25878-7_12,10.1007/3-540-63938-1_84,10.1007/978-3-642-18469-7_15,10.1007/978-3-540-31843-9_24,10.1007/978-3-642-18469-7_31,10.1007/3-540-46648-7_32,10.1007/3-540-37623-2_3,10.1007/3-540-63938-1_88,10.1007/3-540-46648-7_31,10.1007/978-3-540-70904-6_25,10.1007/3-540-44541-2_14,10.1007/BFb0021809,10.1007/978-3-540-31843-9_39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_375,Characterization and recognition of point-halfspace and related orders,Paul J. Tanenbaum,Edward R. Scheinerman,Michael T. Goodrich,U.S. Army Research Laboratory,,1994,,The Johns Hopkins University,10.1007/3-540-58950-3_384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/BFb0021804,Vertex splitting and tension-free layout,Candido F. X. de Mendonça Neto,Peter Eades,,University of Newcastle,10.1007/978-3-540-24595-7_41,1995,,Unicamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/BFb0021803,COMAIDE: Information visualization using cooperative 3D diagram layout,David Dodson,,,City University,10.1007/3-540-63938-1_70,1995,,,10.1007/3-540-58950-3_396,10.1007/3-540-58950-3_382,,,,,10.1007/3-540-37623-2_7,,10.1007/3-540-62495-3_48,10.1007/3-540-36151-0_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/BFb0021806,Graph-Drawing contest report,Joe Marks,Peter Eades,,University of Newcastle,,1995,,Mitsubishi Electric Research Laboratories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_378,A system for drawing graphs with geometric symmetry,Mikhail Atallah,Joseph Manning,Kingsley Cudjoe,Vassar College,10.1007/3-540-44541-2_35,1994,Joe Lozito,Purdue University,,,,,,,,Ron Pacheco,,,,,,,,,,,,,,,,Harding University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/BFb0021805,Drawing stressed planar graphs in three dimensions,Patrick Garvan,Peter Eades,,University of Newcastle,10.1007/3-540-37623-2_25,1995,,,10.1007/3-540-58950-3_351,,,,,,10.1007/3-540-62495-3_55,,10.1007/978-3-319-03841-4_16,10.1007/3-540-36151-0_5,10.1007/978-3-642-11805-0_6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_379,Demonstration of the interactive graph visualization system da Vinci,Mattias Werner,Michael Fröhlich,,University of Bremen,10.1007/978-3-319-27261-0_51,1994,,,10.1007/978-3-642-25878-7_9,10.1007/3-540-58950-3_371,,,,,10.1007/3-540-62495-3_64,,10.1007/3-540-37623-2_30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/BFb0021800,3D graph drawing with simulated annealing,Isabel F. Cruz,Joseph P. Twarog,,Tufts University,10.1007/3-540-63938-1_50,1995,,,10.1007/3-540-58950-3_353,10.1007/978-3-642-25878-7_9,10.1007/3-540-58950-3_351,,,,10.1007/3-540-63938-1_70,,10.1007/3-540-37623-2_19,10.1007/3-540-37623-2_7,10.1007/3-540-36151-0_5,10.1007/3-540-62495-3_48,10.1007/3-540-36151-0_14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/BFb0021802,The strength of weak proximity (extended abstract),Sue Whitesides,Giuseppe Di Battista,Giuseppe Liotta,Brown University,,1995,,Università di Roma Tre,,,,,,,,,,,,,,,,,,,,,,,,McGill University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/BFb0021801,The botanical beauty of random binary trees,Paul Kruszewski,Luc Devroye,,McGill University,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.1007/3-540-58950-3_372,Drawing telecommunication networks,Ioannis G. Tollis,Chunliang Xia,,The University of Texas at Dallas,10.1007/978-3-540-24595-7_13,1994,,,10.1007/3-540-45848-4_36,,,,,,10.1007/3-540-46648-7_24,,10.1007/3-540-46648-7_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
